year,vegetable,group,harvest_t,source_file,source_cell,source_symbol
1979,たまねぎ,葉茎菜類,1254000,leaves.xls,DG14,
1979,だいこん,根菜類,2575000,roots.xls,C14,
1979,はくさい,葉茎菜類,1411000,leaves.xls,C14,
1979,トマト,果菜類,1038000,fruits.xls,X14,
1979,レタス,葉茎菜類,347600,leaves.xls,BQ14,
1979,にんじん,根菜類,586000,roots.xls,R14,
1979,きゅうり,果菜類,1089000,fruits.xls,C14,
1979,ねぎ,葉茎菜類,549600,leaves.xls,CO14,
1979,なす,果菜類,661600,fruits.xls,O14,
1979,ほうれんそう,葉茎菜類,376600,leaves.xls,AG14,
1979,ブロッコリー,葉茎菜類,,leaves.xls,BN14,…
1979,ピーマン,果菜類,173000,fruits.xls,AV14,
1979,さといも,根菜類,446800,roots.xls,AS14,
1980,ばれいしょ,根菜類,3421000,roots.xls,AJ15,
1980,キャベツ,葉茎菜類,1545000,leaves.xls,R15,
1980,たまねぎ,葉茎菜類,1152000,leaves.xls,DG15,
1980,だいこん,根菜類,2690000,roots.xls,C15,
1980,はくさい,葉茎菜類,1616000,leaves.xls,C15,
1980,トマト,果菜類,1014000,fruits.xls,X15,
1980,レタス,葉茎菜類,381300,leaves.xls,BQ15,
1980,にんじん,根菜類,600100,roots.xls,R15,
1980,きゅうり,果菜類,1018000,fruits.xls,C15,
1980,ねぎ,葉茎菜類,538900,leaves.xls,CO15,
1980,なす,果菜類,618700,fruits.xls,O15,
1980,ほうれんそう,葉茎菜類,352100,leaves.xls,AG15,
1980,ブロッコリー,葉茎菜類,,leaves.xls,BN15,…
1980,ピーマン,果菜類,161400,fruits.xls,AV15,
1980,さといも,根菜類,458500,roots.xls,AS15,
1981,ばれいしょ,根菜類,3095000,roots.xls,AJ16,
1981,キャベツ,葉茎菜類,1624000,leaves.xls,R16,
1981,たまねぎ,葉茎菜類,1042000,leaves.xls,DG16,
1981,だいこん,根菜類,2687000,roots.xls,C16,
1981,はくさい,葉茎菜類,1637000,leaves.xls,C16,
1981,トマト,果菜類,944600,fruits.xls,X16,
1981,レタス,葉茎菜類,411600,leaves.xls,BQ16,
1981,にんじん,根菜類,606300,roots.xls,R16,
1981,きゅうり,果菜類,1072000,fruits.xls,C16,
1981,ねぎ,葉茎菜類,568300,leaves.xls,CO16,
1981,なす,果菜類,650300,fruits.xls,O16,
1981,ほうれんそう,葉茎菜類,369200,leaves.xls,AG16,
1981,ブロッコリー,葉茎菜類,,leaves.xls,BN16,…
1981,ピーマン,果菜類,176200,fruits.xls,AV16,
1981,さといも,根菜類,385800,roots.xls,AS16,
1982,ばれいしょ,根菜類,3775000,roots.xls,AJ17,
1982,キャベツ,葉茎菜類,1625000,leaves.xls,R17,
1982,たまねぎ,葉茎菜類,1257000,leaves.xls,DG17,
1982,だいこん,根菜類,2709000,roots.xls,C17,
